book_id,title,authors,original_publication_year,language_code,average_rating,ratings_count,title_norm,authors_norm,tags_text,n_ratings,item_text
5107,The Catcher in the Rye,J.D. Salinger,1951,eng,3.79,2044241,the catcher in the rye,j.d. salinger,classics favorites fiction to-read classic young-adult books-i-own owned literature clàssics,100,the catcher in the rye j.d. salinger classics favorites fiction to-read classic young-adult books-i-own owned literature clàssics
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000,en-CA,3.85,2001311,"angels & demons (robert langdon, #1)",dan brown,to-read fiction mystery favorites thriller dan-brown owned books-i-own suspense series,100,"angels & demons (robert langdon, #1) dan brown to-read fiction mystery favorites thriller dan-brown owned books-i-own suspense series"
1885,Pride and Prejudice,Jane Austen,1813,eng,4.24,2035490,pride and prejudice,jane austen,classics favorites fiction romance classic books-i-own owned favourites historical-fiction literature,100,pride and prejudice jane austen classics favorites fiction romance classic books-i-own owned favourites historical-fiction literature
8909,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",1897,eng,3.8,159752,the war of the worlds,"h.g. wells, arthur c. clarke",to-read currently-reading classics science-fiction sci-fi fiction classic favorites owned scifi,100,"the war of the worlds h.g. wells, arthur c. clarke to-read currently-reading classics science-fiction sci-fi fiction classic favorites owned scifi"
4909,"Teacher Man (Frank McCourt, #3)",Frank McCourt,2005,en-CA,3.73,23736,"teacher man (frank mccourt, #3)",frank mccourt,to-read non-fiction currently-reading memoir biography nonfiction memoirs education favorites autobiography,100,"teacher man (frank mccourt, #3) frank mccourt to-read non-fiction currently-reading memoir biography nonfiction memoirs education favorites autobiography"
3686,Truth and Beauty,Ann Patchett,2004,eng,3.94,26344,truth and beauty,ann patchett,to-read non-fiction currently-reading nonfiction favorites memoir memoirs biography rory-gilmore-reading-challenge book-club,100,truth and beauty ann patchett to-read non-fiction currently-reading nonfiction favorites memoir memoirs biography rory-gilmore-reading-challenge book-club
5181,Jewel,Bret Lott,1991,unknown,3.64,31851,jewel,bret lott,to-read fiction currently-reading oprah-s-book-club oprah books-i-own oprah-book-club owned favorites oprahs-book-club,100,jewel bret lott to-read fiction currently-reading oprah-s-book-club oprah books-i-own oprah-book-club owned favorites oprahs-book-club
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,2005,eng,4.73,24618,"harry potter collection (harry potter, #1-6)",j.k. rowling,to-read favorites fantasy currently-reading fiction harry-potter young-adult magic ya series,100,"harry potter collection (harry potter, #1-6) j.k. rowling to-read favorites fantasy currently-reading fiction harry-potter young-adult magic ya series"
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,1974,eng,3.76,139411,zen and the art of motorcycle maintenance: an inquiry into values,robert m. pirsig,to-read currently-reading philosophy fiction non-fiction favorites classics nonfiction owned spirituality,100,zen and the art of motorcycle maintenance: an inquiry into values robert m. pirsig to-read currently-reading philosophy fiction non-fiction favorites classics nonfiction owned spirituality
4952,What Is the What,Dave Eggers,2006,eng,4.16,59333,what is the what,dave eggers,to-read memoir historical-fiction nonfiction war owned history novels currently-reading memoirs,100,what is the what dave eggers to-read memoir historical-fiction nonfiction war owned history novels currently-reading memoirs
1375,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",1400,eng,4.03,47825,the iliad/the odyssey,"homer, robert fagles, bernard knox",classics fiction poetry favorites classic owned mythology books-i-own literature fantasy,100,"the iliad/the odyssey homer, robert fagles, bernard knox classics fiction poetry favorites classic owned mythology books-i-own literature fantasy"
8960,"Vampire Mountain (Cirque Du Freak, #4)",Darren Shan,2001,eng,4.16,23847,"vampire mountain (cirque du freak, #4)",darren shan,to-read fantasy young-adult vampires horror currently-reading favorites darren-shan ya cirque-du-freak,100,"vampire mountain (cirque du freak, #4) darren shan to-read fantasy young-adult vampires horror currently-reading favorites darren-shan ya cirque-du-freak"
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",2003,eng,4.77,33220,"harry potter boxed set, books 1-5 (harry potter, #1-5)","j.k. rowling, mary grandpré",to-read favorites fantasy currently-reading harry-potter young-adult fiction magic owned series,100,"harry potter boxed set, books 1-5 (harry potter, #1-5) j.k. rowling, mary grandpré to-read favorites fantasy currently-reading harry-potter young-adult fiction magic owned series"
3711,White Teeth,Zadie Smith,1999,en-US,3.75,82474,white teeth,zadie smith,to-read fiction currently-reading favorites contemporary books-i-own owned novels book-club british,100,white teeth zadie smith to-read fiction currently-reading favorites contemporary books-i-own owned novels book-club british
3682,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,2003,eng,3.79,173613,"a great and terrible beauty (gemma doyle, #1)",libba bray,to-read fantasy young-adult historical paranormal historical-fiction ya favorites romance magic,100,"a great and terrible beauty (gemma doyle, #1) libba bray to-read fantasy young-adult historical paranormal historical-fiction ya favorites romance magic"
415,Gravity's Rainbow,Thomas Pynchon,1973,eng,4.03,24990,gravity's rainbow,thomas pynchon,to-read fiction currently-reading science-fiction owned favorites historical-fiction novels sci-fi to-buy,100,gravity's rainbow thomas pynchon to-read fiction currently-reading science-fiction owned favorites historical-fiction novels sci-fi to-buy
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,"Steven Pressfield, Robert McKee",2002,en-US,4.07,31399,the war of art: break through the blocks & win your inner creative battles,"steven pressfield, robert mckee",to-read currently-reading writing self-help nonfiction creativity favorites art business non-fiction,100,"the war of art: break through the blocks & win your inner creative battles steven pressfield, robert mckee to-read currently-reading writing self-help nonfiction creativity favorites art business non-fiction"
1911,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,2005,en-US,3.66,78271,the world is flat: a brief history of the twenty-first century,thomas l. friedman,to-read currently-reading non-fiction history business economics nonfiction politics owned books-i-own,100,the world is flat: a brief history of the twenty-first century thomas l. friedman to-read currently-reading non-fiction history business economics nonfiction politics owned books-i-own
3008,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",1905,eng,4.2,199872,a little princess,"frances hodgson burnett, nancy bond",to-read currently-reading classics favorites fiction childrens classic children young-adult children-s,100,"a little princess frances hodgson burnett, nancy bond to-read currently-reading classics favorites fiction childrens classic children young-adult children-s"
353,Time Enough for Love,Robert A. Heinlein,1973,eng,3.96,25603,time enough for love,robert a. heinlein,to-read science-fiction sci-fi currently-reading fiction favorites scifi owned sf sci-fi-fantasy,100,time enough for love robert a. heinlein to-read science-fiction sci-fi currently-reading fiction favorites scifi owned sf sci-fi-fantasy
3873,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,1975,eng,3.85,32506,"a history of god: the 4,000-year quest of judaism, christianity, and islam",karen armstrong,to-read religion currently-reading history non-fiction nonfiction philosophy islam spirituality christianity,100,"a history of god: the 4,000-year quest of judaism, christianity, and islam karen armstrong to-read religion currently-reading history non-fiction nonfiction philosophy islam spirituality christianity"
5196,Tara Road,Maeve Binchy,1998,eng,3.88,60154,tara road,maeve binchy,to-read currently-reading chick-lit favorites maeve-binchy romance books-i-own owned oprah book-club,100,tara road maeve binchy to-read currently-reading chick-lit favorites maeve-binchy romance books-i-own owned oprah book-club
5350,The Partner,John Grisham,1997,unknown,3.89,86870,the partner,john grisham,to-read fiction john-grisham thriller mystery grisham default legal-thriller owned suspense,100,the partner john grisham to-read fiction john-grisham thriller mystery grisham default legal-thriller owned suspense
5148,A Separate Peace,John Knowles,1959,en-US,3.56,155901,a separate peace,john knowles,classics favorites young-adult to-read school classic literature books-i-own owned read-for-school,100,a separate peace john knowles classics favorites young-adult to-read school classic literature books-i-own owned read-for-school
5349,The Rainmaker,John Grisham,1995,eng,3.91,137412,the rainmaker,john grisham,fiction to-read thriller mystery grisham favorites suspense legal-thriller default owned,100,the rainmaker john grisham fiction to-read thriller mystery grisham favorites suspense legal-thriller default owned
3836,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605,eng,3.85,134931,don quixote,"miguel de cervantes saavedra, roberto gonzález echevarría, john rutherford",classics fiction to-read favorites literature owned books-i-own spanish adventure novels,100,"don quixote miguel de cervantes saavedra, roberto gonzález echevarría, john rutherford classics fiction to-read favorites literature owned books-i-own spanish adventure novels"
4004,The Pilgrimage,"Paulo Coelho, Alan R. Clarke",1987,eng,3.64,28283,the pilgrimage,"paulo coelho, alan r. clarke",to-read currently-reading fiction paulo-coelho owned favorites philosophy spiritual spirituality books-i-own,100,"the pilgrimage paulo coelho, alan r. clarke to-read currently-reading fiction paulo-coelho owned favorites philosophy spiritual spirituality books-i-own"
8965,"The Vampire's Assistant (Cirque Du Freak, #2)",Darren Shan,2000,unknown,4.12,29943,"the vampire's assistant (cirque du freak, #2)",darren shan,to-read fantasy young-adult vampires horror currently-reading favorites darren-shan ya fiction,100,"the vampire's assistant (cirque du freak, #2) darren shan to-read fantasy young-adult vampires horror currently-reading favorites darren-shan ya fiction"
3061,The Natural Way to Draw,"Kimon Nicolaides, Mamie Harmon",1941,en-US,3.88,30880,the natural way to draw,"kimon nicolaides, mamie harmon",to-read currently-reading art drawing non-fiction art-books nonfiction reference favorites art-instruction,100,"the natural way to draw kimon nicolaides, mamie harmon to-read currently-reading art drawing non-fiction art-books nonfiction reference favorites art-instruction"
5932,Twenty Love Poems and a Song of Despair,"Pablo Neruda, W.S. Merwin, Cristina García",1924,eng,4.33,31606,twenty love poems and a song of despair,"pablo neruda, w.s. merwin, cristina garcía",favorites to-read classics spanish romance owned poesia books-i-own poems fiction,100,"twenty love poems and a song of despair pablo neruda, w.s. merwin, cristina garcía favorites to-read classics spanish romance owned poesia books-i-own poems fiction"
3895,The Barefoot Contessa Cookbook,"Ina Garten, Melanie Acevedo",1999,en-GB,4.21,22497,the barefoot contessa cookbook,"ina garten, melanie acevedo",to-read cookbooks cooking currently-reading food cookbook non-fiction cook-books favorites nonfiction,100,"the barefoot contessa cookbook ina garten, melanie acevedo to-read cookbooks cooking currently-reading food cookbook non-fiction cook-books favorites nonfiction"
3579,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",L.M. Montgomery,1908,unknown,4.42,92142,"the complete anne of green gables boxed set (anne of green gables, #1-8)",l.m. montgomery,to-read children ya children-s-books childhood series romance all-time-favorites favorites owned,100,"the complete anne of green gables boxed set (anne of green gables, #1-8) l.m. montgomery to-read children ya children-s-books childhood series romance all-time-favorites favorites owned"
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,2005,en-US,3.73,16698,the game: penetrating the secret society of pickup artists,neil strauss,to-read currently-reading non-fiction psychology nonfiction biography self-help favorites relationships memoir,100,the game: penetrating the secret society of pickup artists neil strauss to-read currently-reading non-fiction psychology nonfiction biography self-help favorites relationships memoir
6424,"Seven Up (Stephanie Plum, #7)",Janet Evanovich,2001,en-US,4.15,94506,"seven up (stephanie plum, #7)",janet evanovich,to-read mystery janet-evanovich fiction humor series chick-lit stephanie-plum currently-reading romance,100,"seven up (stephanie plum, #7) janet evanovich to-read mystery janet-evanovich fiction humor series chick-lit stephanie-plum currently-reading romance"
6759,Infinite Jest,David Foster Wallace,1996,en-US,4.31,46742,infinite jest,david foster wallace,to-read currently-reading fiction favorites owned abandoned classics literature to-buy novels,100,infinite jest david foster wallace to-read currently-reading fiction favorites owned abandoned classics literature to-buy novels
1519,"The Oresteia  (Ορέστεια, #1-3)","Aeschylus, Robert Fagles, William Bedell Stanford",1400,eng,3.99,24588,"the oresteia (ορέστεια, #1-3)","aeschylus, robert fagles, william bedell stanford",to-read classics plays drama currently-reading fiction mythology favorites owned literature,100,"the oresteia (ορέστεια, #1-3) aeschylus, robert fagles, william bedell stanford to-read classics plays drama currently-reading fiction mythology favorites owned literature"
7613,Animal Farm,George Orwell,1945,eng,3.87,1881700,animal farm,george orwell,classics fiction favorites classic dystopia fantasy literature owned dystopian school,100,animal farm george orwell classics fiction favorites classic dystopia fantasy literature owned dystopian school
8282,"The Long Winter (Little House, #6)","Laura Ingalls Wilder, Garth Williams",1940,unknown,4.16,54443,"the long winter (little house, #6)","laura ingalls wilder, garth williams",to-read classics historical-fiction childrens fiction children children-s favorites young-adult children-s-books,100,"the long winter (little house, #6) laura ingalls wilder, garth williams to-read classics historical-fiction childrens fiction children children-s favorites young-adult children-s-books"
1715,Metamorphoses,"Ovid, David Raeburn, Denis Feeney",1400,eng,4.03,42590,metamorphoses,"ovid, david raeburn, denis feeney",poetry mythology favorites fiction to-read classic books-i-own literature fantasy 1001-books,100,"metamorphoses ovid, david raeburn, denis feeney poetry mythology favorites fiction to-read classic books-i-own literature fantasy 1001-books"
6748,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,1996,en-GB,4.28,23272,a supposedly fun thing i'll never do again: essays and arguments,david foster wallace,to-read currently-reading non-fiction essays favorites nonfiction humor short-stories owned american,100,a supposedly fun thing i'll never do again: essays and arguments david foster wallace to-read currently-reading non-fiction essays favorites nonfiction humor short-stories owned american
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard Feynman,1984,en-US,4.29,91625,"surely you're joking, mr. feynman!: adventures of a curious character",richard feynman,science biography to-read nonfiction physics memoir currently-reading autobiography owned humor,100,"surely you're joking, mr. feynman!: adventures of a curious character richard feynman science biography to-read nonfiction physics memoir currently-reading autobiography owned humor"
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987,eng,4.23,139052,"the drawing of the three (the dark tower, #2)",stephen king,to-read currently-reading fantasy stephen-king fiction horror favorites owned science-fiction series,100,"the drawing of the three (the dark tower, #2) stephen king to-read currently-reading fantasy stephen-king fiction horror favorites owned science-fiction series"
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,en-US,4.2,936782,"the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy, #1)",douglas adams,to-read currently-reading science-fiction favorites sci-fi fiction humor fantasy classics scifi,100,"the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy, #1) douglas adams to-read currently-reading science-fiction favorites sci-fi fiction humor fantasy classics scifi"
5129,Brave New World,Aldous Huxley,1932,eng,3.97,1022601,brave new world,aldous huxley,to-read classics fiction favorites science-fiction sci-fi dystopia dystopian classic owned,100,brave new world aldous huxley to-read classics fiction favorites science-fiction sci-fi dystopia dystopian classic owned
3087,A Room with a View,E.M. Forster,1908,eng,3.91,109994,a room with a view,e.m. forster,to-read classics fiction favorites romance classic books-i-own literature historical-fiction italy,100,a room with a view e.m. forster to-read classics fiction favorites romance classic books-i-own literature historical-fiction italy
6693,Fantastic Mr. Fox,"Roald Dahl, Quentin Blake",1970,eng,4.03,66015,fantastic mr. fox,"roald dahl, quentin blake",to-read childrens fiction children fantasy children-s currently-reading favorites children-s-books childhood,100,"fantastic mr. fox roald dahl, quentin blake to-read childrens fiction children fantasy children-s currently-reading favorites children-s-books childhood"
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884,eng,3.8,953758,the adventures of huckleberry finn,"mark twain, john seelye, guy cardwell",currently-reading classics fiction classic favorites to-read historical-fiction literature young-adult adventure,100,"the adventures of huckleberry finn mark twain, john seelye, guy cardwell currently-reading classics fiction classic favorites to-read historical-fiction literature young-adult adventure"
67,The Known World,Edward P. Jones,2003,eng,3.82,26550,the known world,edward p. jones,to-read currently-reading historical-fiction pulitzer fiction favorites book-club pulitzer-prize african-american books-i-own,100,the known world edward p. jones to-read currently-reading historical-fiction pulitzer fiction favorites book-club pulitzer-prize african-american books-i-own
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,eng,3.85,867553,the curious incident of the dog in the night-time,mark haddon,to-read currently-reading fiction favorites young-adult owned books-i-own classics audio book-club,100,the curious incident of the dog in the night-time mark haddon to-read currently-reading fiction favorites young-adult owned books-i-own classics audio book-club
1362,The Histories,"Herodotus, Aubrey de Sélincourt, John M. Marincola",1400,eng,3.97,28870,the histories,"herodotus, aubrey de sélincourt, john m. marincola",to-read history classics non-fiction currently-reading favorites ancient-history nonfiction greek books-i-own,100,"the histories herodotus, aubrey de sélincourt, john m. marincola to-read history classics non-fiction currently-reading favorites ancient-history nonfiction greek books-i-own"
5693,Selected Stories,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",1900,eng,4.36,23027,selected stories,"anton chekhov, richard pevear, larissa volokhonsky",to-read currently-reading short-stories fiction classics russian favorites russian-literature literature russian-lit,100,"selected stories anton chekhov, richard pevear, larissa volokhonsky to-read currently-reading short-stories fiction classics russian favorites russian-literature literature russian-lit"
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847,eng,3.82,899195,wuthering heights,"emily brontë, richard j. dunn",classics favorites to-read fiction classic romance books-i-own owned literature gothic,100,"wuthering heights emily brontë, richard j. dunn classics favorites to-read fiction classic romance books-i-own owned literature gothic"
5091,"The Dark Tower (The Dark Tower, #7)",Stephen King,2004,en-US,4.27,93296,"the dark tower (the dark tower, #7)",stephen king,to-read fantasy fiction favorites horror currently-reading owned series king science-fiction,100,"the dark tower (the dark tower, #7) stephen king to-read fantasy fiction favorites horror currently-reading owned series king science-fiction"
2794,The Crying of Lot 49,Thomas Pynchon,1966,en-US,3.7,48692,the crying of lot 49,thomas pynchon,to-read fiction favorites classics currently-reading literature owned american novels postmodern,100,the crying of lot 49 thomas pynchon to-read fiction favorites classics currently-reading literature owned american novels postmodern
4631,A Moveable Feast,Ernest Hemingway,1964,eng,4.04,69992,a moveable feast,ernest hemingway,to-read travel hemingway american currently-reading rory-gilmore-reading-challenge 20th-century to-buy library writing,100,a moveable feast ernest hemingway to-read travel hemingway american currently-reading rory-gilmore-reading-challenge 20th-century to-buy library writing
1110,The Broker,John Grisham,2005,eng,3.77,65428,the broker,john grisham,to-read john-grisham thriller mystery currently-reading grisham default owned fiction books-i-own,100,the broker john grisham to-read john-grisham thriller mystery currently-reading grisham default owned fiction books-i-own
3679,On Beauty,Zadie Smith,2005,eng,3.68,44317,on beauty,zadie smith,to-read currently-reading fiction favorites books-i-own contemporary owned 1001-books book-club novels,100,on beauty zadie smith to-read currently-reading fiction favorites books-i-own contemporary owned 1001-books book-club novels
3110,Assassination Vacation,Sarah Vowell,2005,en-US,3.98,32176,assassination vacation,sarah vowell,to-read nonfiction non-fiction history favorites travel essays humor currently-reading memoir,100,assassination vacation sarah vowell to-read nonfiction non-fiction history favorites travel essays humor currently-reading memoir
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,2005,en-US,3.85,23015,killing yourself to live: 85% of a true story,chuck klosterman,to-read non-fiction music currently-reading favorites nonfiction memoir humor pop-culture essays,100,killing yourself to live: 85% of a true story chuck klosterman to-read non-fiction music currently-reading favorites nonfiction memoir humor pop-culture essays
7797,Ten Apples Up On Top!,"Theo LeSieg, Roy McKie",1961,eng,4.11,28034,ten apples up on top!,"theo lesieg, roy mckie",to-read children kids childrens-books picture-books kids-books fiction children-s picture-book children-s-books,100,"ten apples up on top! theo lesieg, roy mckie to-read children kids childrens-books picture-books kids-books fiction children-s picture-book children-s-books"
5166,Midwives,Chris Bohjalian,1997,en-US,3.97,133155,midwives,chris bohjalian,to-read currently-reading fiction favorites book-club books-i-own contemporary oprah-s-book-club contemporary-fiction oprah,100,midwives chris bohjalian to-read currently-reading fiction favorites book-club books-i-own contemporary oprah-s-book-club contemporary-fiction oprah
5351,The Street Lawyer,John Grisham,1998,eng,3.81,80577,the street lawyer,john grisham,to-read fiction john-grisham currently-reading mystery thriller grisham legal-thriller default owned,100,the street lawyer john grisham to-read fiction john-grisham currently-reading mystery thriller grisham legal-thriller default owned
8647,"Shadow of the Giant (Ender's Shadow, #4)",Orson Scott Card,2005,eng,3.98,37479,"shadow of the giant (ender's shadow, #4)",orson scott card,to-read science-fiction sci-fi fiction scifi currently-reading owned orson-scott-card favorites sci-fi-fantasy,100,"shadow of the giant (ender's shadow, #4) orson scott card to-read science-fiction sci-fi fiction scifi currently-reading owned orson-scott-card favorites sci-fi-fantasy"
6690,Danny the Champion of the World,"Roald Dahl, Quentin Blake",1975,unknown,4.07,39802,danny the champion of the world,"roald dahl, quentin blake",to-read childrens fiction children favorites children-s childhood children-s-books roald-dahl kids,100,"danny the champion of the world roald dahl, quentin blake to-read childrens fiction children favorites children-s childhood children-s-books roald-dahl kids"
1431,Veronika Decides to Die,"Paulo Coelho, Margaret Jull Costa",1998,eng,3.69,111856,veronika decides to die,"paulo coelho, margaret jull costa",to-read owned novels novel currently-reading 1001 psychology owned-books romance literature,100,"veronika decides to die paulo coelho, margaret jull costa to-read owned novels novel currently-reading 1001 psychology owned-books romance literature"
26,The Lost Continent: Travels in Small Town America,Bill Bryson,1989,en-US,3.83,40254,the lost continent: travels in small town america,bill bryson,to-read travel non-fiction currently-reading nonfiction humor memoir humour favorites owned,100,the lost continent: travels in small town america bill bryson to-read travel non-fiction currently-reading nonfiction humor memoir humour favorites owned
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,eng,3.7,665930,"the devil wears prada (the devil wears prada, #1)",lauren weisberger,to-read chick-lit fiction books-i-own favorites contemporary owned chicklit romance adult,100,"the devil wears prada (the devil wears prada, #1) lauren weisberger to-read chick-lit fiction books-i-own favorites contemporary owned chicklit romance adult"
1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",1400,eng,3.73,670326,the odyssey,"homer, robert fagles, e.v. rieu, frédéric mugler, bernard knox",to-read classics currently-reading fiction poetry classic favorites mythology fantasy school,100,"the odyssey homer, robert fagles, e.v. rieu, frédéric mugler, bernard knox to-read classics currently-reading fiction poetry classic favorites mythology fantasy school"
2517,My Name is Red,"Orhan Pamuk, Erdağ M. Göknar",1998,eng,3.83,27314,my name is red,"orhan pamuk, erdağ m. göknar",to-read currently-reading fiction historical-fiction favorites mystery turkey owned literature novels,100,"my name is red orhan pamuk, erdağ m. göknar to-read currently-reading fiction historical-fiction favorites mystery turkey owned literature novels"
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000,eng,4.17,147717,the amazing adventures of kavalier & clay,michael chabon,to-read currently-reading fiction favorites historical-fiction pulitzer owned book-club literature novels,100,the amazing adventures of kavalier & clay michael chabon to-read currently-reading fiction favorites historical-fiction pulitzer owned book-club literature novels
1845,Into the Wild,Jon Krakauer,1996,eng,3.94,647684,into the wild,jon krakauer,to-read non-fiction currently-reading favorites nonfiction biography adventure travel books-i-own owned,100,into the wild jon krakauer to-read non-fiction currently-reading favorites nonfiction biography adventure travel books-i-own owned
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,eng,3.81,637412,a tale of two cities,"charles dickens, richard maxwell, hablot knight browne",to-read currently-reading classics fiction favorites classic historical-fiction books-i-own owned literature,100,"a tale of two cities charles dickens, richard maxwell, hablot knight browne to-read currently-reading classics fiction favorites classic historical-fiction books-i-own owned literature"
3590,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,eng,4.29,139816,the adventures of sherlock holmes,arthur conan doyle,to-read classics mystery fiction favorites currently-reading short-stories classic crime owned,100,the adventures of sherlock holmes arthur conan doyle to-read classics mystery fiction favorites currently-reading short-stories classic crime owned
365,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,1987,en-US,3.97,89569,dirk gently's holistic detective agency (dirk gently #1),douglas adams,to-read currently-reading science-fiction fiction sci-fi owned fantasy humor scifi favorites,100,dirk gently's holistic detective agency (dirk gently #1) douglas adams to-read currently-reading science-fiction fiction sci-fi owned fantasy humor scifi favorites
5187,The Book of Ruth,Jane Hamilton,1988,en-US,3.82,56842,the book of ruth,jane hamilton,to-read fiction currently-reading oprah-s-book-club favorites oprah books-i-own owned oprah-book-club book-club,100,the book of ruth jane hamilton to-read fiction currently-reading oprah-s-book-club favorites oprah books-i-own owned oprah-book-club book-club
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958,eng,4.3,691231,night (the night trilogy #1),"elie wiesel, marion wiesel",to-read non-fiction currently-reading favorites classics history nonfiction school historical memoirs,100,"night (the night trilogy #1) elie wiesel, marion wiesel to-read non-fiction currently-reading favorites classics history nonfiction school historical memoirs"
